id,name,primary_muscles,secondary_muscles,body_part,equipment,difficulty,risk_level,impact,suitable_for,!suitable_for,description
,lever calf press,calves,hamstrings,lower legs,leverage machine,,,,,,"Adjust the seat of the leverage machine so that your shoulders are aligned with the lever pad. Place your toes on the lever pad, with your heels hanging off the edge. Grasp the handles or side supports for stability. Push the lever pad down by extending your ankles, contracting your calf muscles. Pause for a moment at the bottom of the movement. Slowly return to the starting position by allowing your heels to rise back up. Repeat for the desired number of repetitions."
,posterior tibialis stretch,calves,"hamstrings, quadriceps",lower legs,rope,,,,,,"Sit on the ground with your legs extended in front of you. Loop the rope around the ball of your foot and hold the ends of the rope with your hands. Gently pull the rope towards you, flexing your foot and stretching your calf muscles. Hold the stretch for 20-30 seconds. Release the tension on the rope and relax your foot. Repeat the stretch on the other leg."
,sled calf press on leg press,calves,"hamstrings, quadriceps",lower legs,sled machine,,,,,,"Adjust the seat of the leg press machine so that your knees are slightly bent when your feet are on the sled. Place your feet shoulder-width apart on the sled, with your toes pointing forward. Release the safety handles and push the sled away from you by extending your knees and ankles. Pause for a moment at the top of the movement, then slowly lower the sled back down by bending your knees and ankles. Repeat for the desired number of repetitions."
,sled 45 deg. calf press,calves,hamstrings,lower legs,sled machine,,,,,,"Adjust the sled machine to a 45-degree angle. Place your feet on the sled platform with your toes pointing forward. Push the sled platform away from you by extending your ankles and calves. Pause for a moment at the top, then slowly lower the sled platform back to the starting position. Repeat for the desired number of repetitions."
,smith seated one leg calf raise,calves,hamstrings,lower legs,smith machine,,,,,,"Sit on the machine with your back against the pad and your feet on the footrest. Place one leg on the footrest and keep the other leg off the footrest. Using your calf muscles, raise your heel as high as possible. Pause for a moment at the top, then slowly lower your heel back down to the starting position. Repeat for the desired number of repetitions, then switch legs and repeat."
,smith standing leg calf raise,calves,"hamstrings, glutes",lower legs,smith machine,,,,,,"Adjust the smith machine bar to a height that allows you to stand with your feet flat on the ground and your shoulders under the bar. Position yourself under the bar with your feet shoulder-width apart and your toes pointing forward. Place your hands on the bar for stability. Engage your calves and slowly raise your heels off the ground, lifting your body up onto your toes. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
,battling ropes,cardiovascular system,"delts, forearms, core",cardio,rope,,,,,,"Stand with your feet shoulder-width apart and knees slightly bent. Hold one end of the rope in each hand, with your palms facing each other. Raise your arms to shoulder height, keeping your elbows slightly bent. Begin making alternating waves with the ropes by rapidly raising and lowering each arm. Continue for the desired duration or number of repetitions."
,row ergometer,cardiovascular system,"lats, biceps, forearms, delts",cardio,skierg machine,,,,,,Grab the handles of the skierg machine. Start to full down the handles as you hinge your hip and squeeze your abs and glutes. While driving your arms up keep your chest and head up.
,ski ergometer,cardiovascular system,"glutes, lats, triceps, forearms, delts",cardio,rowerg machine,,,,,,Grab the bar of the rowerg machine and put your feet into the footplace and tighten the straps. Start to pull the bar to your chest as you drive backwards and extend your legs. Drive forwards again and find the rowing motion. Continue for desired duration.
,star jump  ,cardiovascular system,"quadriceps, hamstrings, calves",cardio,body weight,,,,,,"Stand with your feet shoulder-width apart and your arms by your sides. Bend your knees slightly and jump up explosively. As you jump, spread your legs and extend your arms out to the sides, forming a star shape with your body. Land softly on the balls of your feet with your knees slightly bent. Repeat for the desired number of repetitions."
,skater hops,cardiovascular system,"quadriceps, hamstrings, glutes, calves",cardio,body weight,,,,,,"Stand with your feet shoulder-width apart. Bend your knees slightly and jump to the right, landing on your right foot. As you land, swing your left leg behind your right leg and tap the ground with your left toes. Immediately jump to the left, landing on your left foot. As you land, swing your right leg behind your left leg and tap the ground with your right toes. Continue alternating sides, jumping and tapping the ground with each leg. Repeat for the desired number of repetitions."
,push to run,cardiovascular system,"quadriceps, hamstrings, calves",cardio,body weight,,,,,,"Start in a push-up position with your hands shoulder-width apart and your body in a straight line. Lower your chest towards the ground by bending your elbows, keeping your body straight. Push through your hands to extend your arms and return to the starting position. Quickly bring one knee towards your chest, then quickly switch and bring the other knee towards your chest. Continue alternating knees as fast as you can while maintaining good form. Continue for the desired duration or number of repetitions."
,jack jump  ,cardiovascular system,"quadriceps, calves",cardio,body weight,,,,,,"Stand with your feet together and your arms by your sides. Jump up, spreading your feet apart and raising your arms above your head. As you land, quickly jump back to the starting position. Repeat for the desired number of repetitions."
,run,cardiovascular system,"quadriceps, hamstrings, calves",cardio,body weight,,,,,,"Start by standing upright with your feet hip-width apart. Engage your core and keep your upper body relaxed. Begin jogging in place, lifting your knees up towards your chest and landing softly on the balls of your feet. Maintain a steady pace and continue jogging for the desired duration or distance. Remember to breathe deeply and maintain good posture throughout the exercise."
